,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,sea,ocean,big water/river (G); ,"A sea is a large body of water. Several seas are referred to in the Bible, such as the Red Sea which the Israelites crossed when God parted it and the Sea of Galilee around which Jesus ministered. Some seas are salty and some are fresh water. More than half of the earth is covered with deep salty water, known as seas or oceans. Men can travel across seas in big boats called ships that float on the water.","river, water",,GC 19-Feb-19,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Septuagint,,,"The Septuagint is a translation of the Hebrew Bible into the Greek language. Around 330 years before Jesus, the Greeks conquered Israel and Egypt where many Jews dwelt. When Jews began speaking Greek, 70 Jewish scholars translated the Old Testament into Greek. The word Septuagint means ""seventy"". The New Testament often cites verses from the Septuagint rather than from the Hebrew Bible.",,,"That is more or less the tradition. Reality may be a little different, for there were also other Greek translations of the Tanakh.",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,servant,servants,one who works for someone (G); ,"A servant helps or works for someone else. Servants can (1) be people who work for pay, (2) be a captured slave or debtor who is forced to work for no pay, (3) be people who work freely for their master because they love him. Servants working for a powerful man were more important than poor men who were not servants. Prophets and Christians are called the Lord's servants because they freely serve the Lord, who is their Master.",slave,,GC 07-Feb-19,mod by CB 2024 just the last sentence,,,,,,,,,,,,,,,,,,,,,,,
t,shame,"shamed, shames, shameful","be ashamed (G); 
",Shame is a feeling or emotion that comes from guilt. To shame others is to tell bad actions that they have done. Humans feel shame or are ashamed when they strongly wish they had not done something wrong or when they are proved wrong or bad. Jesus died for us to remove our shame so we may feel forgiven and loved.,"guilt, forgive",This is true in guilt culture:Humans feel shame or ashamed when they strongly wish they had not done something wrong.  BUT in shame culture people feel shame when they lose face/are proved wrong/bad.,GC 23-Feb-2019,mod by CB just the word forgiven,,,,,,,,,,,,,,,,,,,,,,,
n,Shechem,,,"Shechem was a wicked man who raped Jacob's daughter Dina and then was killed by her brothers. A clan of Canaanites was called Shechem. There was also a town named Shechem that became one of seven ""cities of refuge"" in Israel where accused murders could flee for protection. (The name Shechem may mean Life.)",,,GC 19-Feb-19,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,sheep,,"sipsip (K); sip (R); deer-like animal (G); 
",Sheep are quiet and shy animals bigger than dogs. They are similar to goats but have fat tails. They stay in flocks and grow long hair called wool. People keep sheep for the purpose of shearing off their wool to make cloth or to eat their meat. Israelites often sacrificed sheep as a way to worship God. A male sheep is called a ram. A female sheep is called a ewe. A baby sheep is called a lamb. Jesus called himself a shepherd and called us his sheep. Jesus was called the Lamb of God because he gave himself as a sacrifice for our sins.,"shepherd, goat",,Sheep herding folk will chuckle at this.,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,shepherd,shepherds,"one who takes care of sheep (G); 
","Shepherds are people who lead and take care of sheep or goats. Jesus called himself our Good Shepherd, because he leads us to God and takes care of us.","sheep, goat",,GC 23-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Shiloh,,,"Shiloh was a city in the territory of Ephraim. After the Israelite conquest of Canaan, the Tabernacle (the old worship tent) was set up there and the Ark of the Covenant was put in it. Many Israelites traveled to Shiloh every year to worship the Lord. Samuel served in the tabernacle as a youth, and as an adult he was the priest, judge and prophet there.",,,GC 07-Feb-19,"GC 7/7/2019
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,ship,ships,"big canoe (G);
","Ships are very large boats that carry passengers and cargo long distances, and sail on the ocean or large lakes.","dingy, boat",,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Sidon,,,"Sidon was a rich, pagan, enemy city, situated near the Mediterranean Sea to the north of Israel. There the people worshipped other gods. King Ahab, king of the northern kingdom of Israel, married Queen Jezebel from Sidon; she was very wicked. Jesus once went there to help one widow and her young daughter. (The name Sidon means Fishery.)",,,GC 19-Feb-2019,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Silas,,,"Silas was from Jeruslem. He travelled with Paul to many cities where they planted new churches (Acts 15-18). (The name Silas means ""forester"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,silver,,"hard money (G); 
","Silver is a bright, expensive metal used to make cups, pots, bowls and money coins.",gold,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Simon,Simeon,,There were many men named Simon. Another way to say the name is Simeon. The Apostle Peter was called Simon and Cephas. Simon the Zealot was a disciple of Jesus. Another Simon was a brother of Jesus. Simon the Cyrene was the man who was forced to carry Jesus' cross.,,,GC 08-Mar-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Siin,"Siyn, Siin, Syin",,"Siin was the name of a wilderness where the Israelites dwelt for several months, after they escaped from Egypt.",,,What they ate there can be learned from the story.,,,,,,,,,,,,,,,,,,,,,,,,
t,sin,"sinning, sins, sinned, wickedness, evil, ","bad doings/thinking; bad behaviour (R);
(resulting in) guilt;
doing things that God does not like/want;
following bad/wrong ways;
doing something that God thinks is bad (G);
not-good thing (G); 
","Sin is doing or thinking something that is bad. Breaking any one of God’s laws is a sin or transgression. Breaking a country’s law is a sin or crime. Rebelling against God is a sin. Hating someone is a sin. God will punish all sins, whether they are big and terrible or small and seemingly unimportant. If we accept that Jesus died on the cross for our sins, however, God can forgive us for all of our sins.",righteous,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Sinai,"Mount Sinai, Mt. Sinai",,"Sinai is the name of a mountain in the region between Egypt and Israel. It is where God met with Moses, gave him the Ten Commandments on stone tablets and made a covenant with the Israelites. ",,,Some researchers now believe that Sinai is Jebel-Musaa (Mt. Moses) in Saudi Arabia.,mod by CB 2024 I think it is better to not try to identify exactly where Mt. Sinai was.,,,,,,,,,,,,,,,,,,,,,,,
n,Sisera,,,"Sisera was a Canaanite army commander who fought against the Israelites when Deborah was judge. When Sisera fled and hid in a woman's tent, she killed him. Her name was Jael.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,slave,"slaves, bondslave","one who works for nothing/without pay (G); 
","A slave is someone who belongs to someone else and who is forced to work for that person without receiving any pay. In biblical times, some slaves were captives from war and others were made slaves if they could not pay their debts. If a slave could earn and save money, then he could buy his freedom. Another term for slave is bondservant. In Romans 6, Paul wrote that we are all slaves, because we are either slaves to sin or slaves to righteousness (Jesus). ",servant,increase cell size to show the definition.,GC 07-Feb-19,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,snake,"serpent, snakes, serpents",,"A snake is a kind of reptile which is a beast or animal with a long tapering body and no legs or feet. Some snakes kill other animals by biting them and injecting poison through their fangs. Others kill by wrapping themselves around another animal and squeezing them to death. The term snake can also be used to refer to a person who is bad. Jesus criticized the teachers of the law and Pharisees, calling them snakes and vipers (a kind of snake).",dragon,,GC 15-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Sodom,Sodomites,,"Sodom was the name of the town where Lot and his family dwelt, near a town called Gomorrah. The men of Sodom and Gomorrah committed terrible sexual sins. Because of this, God destroyed these towns with fire.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Solomon,,,"Solomon was one of King David's sons. His mother was Bathsheba. Solomon became king after David died. He built the first temple for God at Jerusalem. Because Solomon humbled himself before God, God made him both wise and very rich. However, Solomon later sinned by marrying many wives and allowing them to worship pagan gods. The name Solomon means Peace.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Son of God,God's Son,"God in human form; Child of God (R, W);
a man who is God; God!;
God's Son (G) (Mark 15:39);
","The term ""son of God"" is used in the Old Testament as a way to refer to people who have a special relationship with God. The nation of Israel was called God's firstborn son. Solomon was also called ""son of God"". Angels, just and pious men, and the kings of Israel were all called ""sons of God."" In the New Testament, ""Son of God"" is used for Jesus on many occasions. It was a title for the great King called the Messiah or Christ, which is why the Jewish leaders and Pharisees were enraged to hear Jesus called that.
","Son of Man, Messiah",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Son of Man,"Man's Son, Mankind's Son, Human's Son","son of a human; Child of Man (R);
Man's Son (G); 
the Human One;
the Heavenly Man;","Son of man simply means a human being. It was used in the Old Testament for the prophet Ezekiel. The prophet Daniel once saw a vision of someone in heaven who looked like “a son of man,” who had great authority from God over all nations of the world. His future kingdom and reign will never end or be destroyed. Jesus often called himself the Son of Man, in order to teach that he himself is the person in Daniel's vision who has come from heaven in human flesh. In the book of Revelation, the writer describes Jesus as the Son of Man in the midst of believers and as a reaper or harvester.","Son of God, Messiah
",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.
GC: Smoothed out the syntax a bit.",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,spear,,"long arrow (G);
",Spears are weapons that have a long wooden shaft and a sharp point. Soldiers used to thrust or throw spears at enemies in battle. ,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,spirit,"spirits, ghost, ghosts",creature (W);,"A spirits is a living being that is invisible to us humans. God is the eternal Spirit. In the Bible he is referred to as the Spirit of the Lord and the Holy Spirit. Other spirits are lesser supernatural beings created by God, such as angels, who are good, and demons, who are evil. Every human is both a spirit and a visible body together. When a human dies, his spirit rests until it gets a new body. Another use of the word spirit is in reference to the character of a person, for example, having a spirit of leadership or having a spirit of stubbornness. Another use of the word is in reference to the temperment or mood of a person, such as when someone is bitter in spirit (like after a disappointment) or in good spirits (like after eating and drinking).
","demon, angel","Other gods -> Other spirits CB: I find it hard to accept the last sentence ""When humans die, their spirit becomes a ghost, until it gets a new body,"" so I'm changing it to rests.             ",GC 23-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,staff,staffs,,"A staff is a long strong piece of wood that someone holds while walking, which could serve as a defensive weapon.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Stephen,,,"Steven was one of the first Christians. He was a wise leader, full of (led by) the Holy Spirit. He distributed food to others, and he spoke boldly about Jesus. When he reminded some Jewish leaders about their own sins, they killed him by hitting him with big stones. (The name Stephen means Crown.)",,He served food to others -> He distributed food to others,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,strong drink,alcohol,"fermented manioc juice, any drink that causes drunkenness (G);
crazy water (U); ",Strong drink is any liquid drink that contains alcohol.,"beer, wine",other language: crazy water (urt),GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,sulfur,brimstone,salfa (K),"Sulfur is an element from the earth which is yellow and has a bad odor. When it burns it melts and its fire is hot and blue colored. In the end times, unsaved people will suffer in a fiery lake of burning sulfur. Another name for sulfur is brimstone. ",,,,mod by CB 2024 according to what was written for brimstone,,,,,,,,,,,,,,,,,,,,,,,
t,sword,swords,"long knife/machete (G);
","Swords are strong, long knives that soldiers used to fight with in battle. The sword is also a symbol of a king's power to make war and to punish criminals. ",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,sycamore,,"fig tree; tree (R);
fruit tree",Sycamore is a kind of fig (fruit) tree. It has spreading branches that are easy to climb and was often planted by roadsides to provide shade for travellers. Its wood was used for fuel and to make furniture.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,synagogue,,"house for proclaiming;
place where Jews gathered together / gathering place(G);
house of worship (R); ","Synagogue means ""Come together"". Synagogues are religous meeting houses where Jews gather to read the Bible, to teach each other, to pray and to worship God. (Christian meeting places are called chapels or churches.)","temple, tabernacle",Christian synagogues -> Christian meeting places,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Syria,"Syrian, Syrians",,"Syria was and still is a country northeast of Israel. Syria and Israel often went to war against each other, and they still do. A Syrian military officer named Naaman began worshipping the LORD after the Prophet Elisha healed him of leprosy. ",,,GC 07-Feb-19,CB: Why is the keyword Syrian and not Syria? ,,,,,,,,,,,,,,,,,,,,,,,
t,tabernacle,"sacred tent, tent of meeting, meeting tent","skin/leather house of God;
house-like building (not made of durable material) (G); 
skin prayer-tent; house of canvas (ie tent) (R); ","Tabernacle means big tent. God ordered ancient Israelites to build a beautiful, portable tabernacle, so that his presence could live among and camp with them.  Also so they could worship him properly as they travelled in the wilderness. After Solomon built a temple at Jerusalem, the tabernacle was no longer needed; the temple replaced the tabernacle. Jesus replaced both the tabernacle and the temple.","temple, 
synagogue",,Explicitating the materials might make the word impossible to translate.,,,,,,,,,,,,,,,,,,,,,,,,
n,Tabor,Mt. Tabor,,Tabor is a mountain in northern Israel. It marked the boundaries between some Israelite tribes.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Tamar,,,"There are two women named Tamar whose stories are written in the Bible. The first was the woman who became the widow of two of the sons of Judah. Later she pretended to be a prostitute and tricked Judah, and had twins from him. The second was the daughter of King David and sister of Absalom. Her half brother Ammon tricked her and slept with her. Absalom took revenge and killed him. Tamar remained unmarried the rest of her life.",,"original description did not include the first. Intro ""stories written…"" because a third was only mentioned in passing: the daughter of Absalom",GC 08-Mar-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,tax collectors,tax collector,ones who get/carry fees (R); taxer (W);,"A tax collector is someone who gets money from people for the government. After the Romans captured Israel, they called it Judea and levied heavy taxes on everyone. Some jews worked for the Romans as tax collectors, keeping part of the money for themselves. Most folk hated tax collectors, calling them sinners.",,,,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,teach,"teacher, teaching, taught, teaches, train",make read (W);,"To teach or to train is to tell others something helpful or true while showing them how to obey or to apply that truth. Jesus commanded: ""Go make disciples by teaching others to obey My commandments.""","preach, prophet",,GC 15-Feb-2019,mod by CB 2024 spelling of commandments,,,,,,,,,,,,,,,,,,,,,,,
t,temple,"temples, House of God, God's house","big house/building of God (G); 
house of God;
meeting place for God and people;
big/primary worship house/place (P); house of giving (K); inside the fence of the house of giving (K); magnify-place (W);","A temple is the place where God and people meet. For the Jews, there was only ever one temple, located in Jerusalem.  This was where their worship of God was centralized. Historically, there have been only a few Jewish temples: (1) the skin tent tabernacle built by Moses in the wilderness; (2) the majestic stone and gold temple built by King Solomon in Jerusalem and destroyed by Babylon; (3) the smaller temple rebuilt along with Jerusalem city under Nehemiah and Zerubbabel and then expanded by King Herod just before Jesus' birth.  This temple was destroyed by the Romans in 70 A.D. (4) Jesus' body was a ""temple"" (a place where God and humanity met). (5) The New Testament teaches that Christians are now God's temple, because his Spirit dwells in them. Temple is also what a house for idols of pagan gods is called.","synagogue, tabernacle",Hilkka: move this sentence to the end: Temples are houses for idols of pagan gods.... Start with: Temple is the place where…,"GC 11-Mar-2019
Shortened edit. Mod by CB 2024","Temples are houses in which people pray to their gods and offer sacrifices. Pagans set up idols in their temples. God told the Israelites to set up a portable tent. Later God ordered Solomo to build a temple at Jerusalem. After the Israelites brought pagan idols into God's temple, he sent the Babylonians to destroy that first temple. Jesus body was a temple. After Israel crucified Jesus, God sent Roman armies to destroy their second temple. Since then, God says that Christians are his temple, because the Holy Spirit dwells in them.",,,,,,,,,,,,,,,,,,,,,,,
t,thank,"thankful, grateful, gratitude","to tell someone something they have done is good (G); 
be happy with someone (because they gave you something) (U); ","To thank someone means to tell what good action that person has done for you. In the Old Testament, believers thanked God with an offering; in the New Testament, we thank God by telling his good actions.","praise, honor",be happy with someone (because they gave you something (urt)),"GC 23-Feb-2019 (In the NT, grace and thanks are the same Greek word.)",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,throne,king's chair,"sitting place of the leader (G); where the chief sits
",A throne was a chair upon which kings sat when deciding important matters. Throne is also a symbol that means kingship or the authority that a king has. Throne of Heaven means God who rules over heaven and earth. ,kingdom,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Timothy,,,"Timothy was from Asia Minor (which is now part of the country of Turkey). When he was a young man, he travelled with Paul to many cities where they started or planted new churches (Acts 16-20). Paul later wrote letters to Timothy, instructing him in how to be a good pastor of a church. (The name Timothy means ""honour God"".)",,,,"GC 7/7/2019
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Titus,,,"Titus accompanied Paul to Crete where they started churches. When Paul left, Titus stayed there to train up new church leaders. Later, Paul wrote a letter to him.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,tomb,"tombs, grave",rock hole (G),"A tomb is a cave where corpses were put for burial.  The Jews buried their dead people in tombs, so a tomb is their grave, where the dead lie.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,town,village,"town (G); 
",A village or town is a small group of family homes separated from other such groups.  A village or town is a smaller group than a city.  ,city,,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,treasure,treasures,,"Treasure is anything that has much value, like money or jewels, that is kept at one place.",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,unclean,contaminated,,"In Jewish culture, clean did not mean washed, and unclean did not mean dirty. Rather, clean and unclean were ceremonial categories. Clean meant things or actions that God allows or permits. Clean things or persons may serve God in his tent or his temple. But God forbids unclean things or persons. Unclean things must be kept away from God’s tent or temple. Some unclean things or persons may be made clean by washing with water, by offering a sacrifice, by sprinkling them with blood, or by a message from God. You may translate clean by ‘ceremonially pure, acceptable, or allowed’. You may translate unclean by ‘ceremonially impure, unacceptable, or forbidden’. (Deuteronomy 14 talks about clean and unclean animals.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Uzzah,,,"Uzzah was a man that God killed because he disobeyed him. King David ordered that an ox cart carry the Ark of the Covenant to Jerusalem after it had been captured. This was not the way God had specified for the Ark to be carried. When the oxen stumbled, Uzzah laid his hand on the Ark to steady it. Instantly, fire from the Lord killed Uzzah, because the Lord had forbidden that anyone touch the Ark. (The name Uzzah means Strength.)",,,,"mod by CB 2024 added first sentence, 
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Vashti,,,Queen Vashti was the first wife of the Persian King Xerxes (also known as Ahasuerus). She lost her position as queen because she disobeyed the king. He deposed Vashti and made Esther his new queen. (The Persian name Vashti means Beautiful.),,,GC 08-Mar-2019,mod by CB 2024 added first sentence,,,,,,,,,,,,,,,,,,,,,,,
t,version,edition,,1.0-Eng-2022-03   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,vine,"vines, vineyard, grapevine, grapevines",,"A vine is a plant that produces fruit called grapes. A vineyard is a garden where they grow grape vines. Men protected vineyads with stone fences and guarded them. In the Bible, God called Israel his vineyard, and Jesus calls himself a vine and his followers vine branches.","grape, wine",,,,,,,,,,,,,,,,,,,,,,,,,,
t,virgin,virgins,girl (W);,"Virgins are men or women, young or old, who have never had sex with anyone. In a king's palace, virgins were young women waiting to become a king's wife or concubine.","woman, wife",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,vision,visions,"to see as in a dream (G); what appeared (W);
","A vision is a dream that someone sees while awake. In a vision, one may see persons or things that are usually invisible. The Books of Daniel and of Revelation describe several visions about future events. The Apostle Paul saw Jesus in several visions.",dream,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,wait,"waited, waits, waiting",,"To wait for others means to stay where you are until they come. To wait for something means to keep watching for it till it happens. To wait for Jesus to return means to live in a way that pleases him so he will reward us, expecting that he will come.",rest,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,wicked,wickedness,crooked (W);,Wicked is a word that describes something that is very bad or evil. Wicked people are those who harm others because they disregard God's laws. Wickedness is evil that causes harm.,,,GC 15-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,wife,wives,"one whom he has/is-with (G);
lady (W);","A wife is a woman who is married to a man. The day of her wedding, a wife is called a bride. Rich men may have more than one wife. A king's first wife is called a queen. Besides wives, kings may also have concubines.","concubine, woman, virgin",,GC 08-Mar-2019,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,wilderness,desert,,Wilderness describes land or regions where humans do not usually dwell because it is very dry and desolate. It is also known as a desert or a wild area.,,,,GC 7/7/2019  mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,wine,,"fermented maioc juice, any drink that causes drunkenness (G);
",Wine is a fermented juice from grapes. It contains alcohol and is often diluted with water. Jewish people served wine to guests at weddings and during their annual Passover feast. Wine served in the Lord's supper is a reminder of Jesus' death.,"beer, alcohol, strong drink, grapevine","Juice from grapes , often diluted with water. When fermented, wine contains alcohol. -> Fermented juice from grapes (contains alcohol),  often diluted with water. ",GC 07-Feb-19,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,wisdom,wise,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); 
the knowing well of things (G);
",Wisdom is knowing and doing that which is true and right. God is all wise and he gives wisdom to all who ask him for it with faith.,"foolish, knowledge",,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,woman,women,,"Women are female people. God created men and women to be equal partners in marriage and in caring for the earth. A married woman is called a wife. A slave woman who bears children for her master is called a concubine. Before marriage, a young woman is called a virgin if she is has not had sex. ","wife, concubine, virgin", a young woman is called a virgin if she is has not had sex and is not pregnant. ->  a young woman is called a virgin if she has not had sex. ,GC 08-Mar-2019,mod by CB just added r to her,,,,,,,,,,,,,,,,,,,,,,,
t,world,,atmosphere / cosmos; world (R); addina (W from Ar);,"World means either (1) the physical earth upon which all creatures dwell, or (2) the people who live on the earth, or (3) the nations and governments that rebel against God. 
","earth, heaven",,,,,,,,,,,,,,,,,,,,,,,,,,
t,worship,,"calling on / praying to God; worship (R);
praising God;
giving God honor;
bowing (setting knees on ground or breaking leg joints) before God;
doing work/service for God;
always doing what God wants you to (G);
magnify (W)","Worship is an action or activity that humans perform to give honour to God (or to other gods/idols). Thus, there are many ways in which we worship God; by our body position, by our serving one another, by teaching and learning Scripture, by songs and chants, by praying and by giving to meet the needs of others. ","prayer, praise",always doing what God wants you to (G); ???,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Xerxes,Ahasuerus,,"Xerxes was the title of Persian kings. Xerxes the Great was the 5th king of the Persian Empire, 486–465 BC. He was the king who deposed Queen Vashti and chose Esther to be his queen. He was also called Ahasuerus. (The name Ahasuerus means Chief.)",King,,GC 08-Mar-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Yahweh,"Lord, Jehovah","the (Chief) God; the Most High God; Yawe; I AM, Adonai
",Yahweh is the name in the Hebrew language of the God of the Jews and Christians. Yahweh is usually translated as Jehovah or Adonai. Yahweh means HE IS or HE WHO EXISTS. Moses asked God what his name was and God himself said his name was I AM. (Exodus 3:14.) ,Lord,,"originally ended with :  Hebrew and some languages say The (Chief) God or The Most High God..  That is not true in Hebrew - Jews usually say ""The Name"" or Adonai. ","mod by CB 2024 
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,yeast,,is (transliteration) (R); lewer (W from Fr);,"Yeast is a substance that is used to make bread. It causes the dough to swell before baking. Only a little yeast is needed to make a large quantity of bread. (Yeast is a tiny plant that consumes flour and sugar, releasing air bubbles into bread dough.)",bread,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Zacchaeus,"Zac, Zacchaeus, Zakias",,"Zacchaeus was a Jewish tax collector working for the Roman government, who had become rich by cheating others. After he met Jesus, he repented of his dishonest activities. (The name Zacchaeus means pure or innocent.)",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Zechariah,,,There were several men named Zechariah. One was king over Northern Israel. Another was the son of priest Jehoiada who prophesied during the reign of King Joash when the Spirit of the Lord came upon him. Joash had him stoned to death. Another Zechariah was a prophet of the Lord who wrote a book entitled with his name. Another was the father of John the Baptist. (The name Zechariah means the LORD remembers.),,,GC 07-Feb-19,mod by CB  2024,,,,,,,,,,,,,,,,,,,,,,,
n,Zedekiah,,,"King Zedekiah, son of King Joash, ruled over Judah in southern Israel about 590 years before Christ. The Babylonian army defeated Jerusalem and took him captive and blinded him. Another man named Zedekiah lived almost 300 years earlier. He was a prophet for King Ahab, king of northern Isreal. He opposed the message that the Lord spoke through the prophet Micaiah. (The name Zedekiah means the LORD is righteous.)",,"Ahab 874–853 bc
Zedekiah 597–587 BC
870 - 590 = 280, almost300",GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Zeus,,,"Zeus is the name of the chief Greek god, identical to the Roman god Jupiter. Another god or spirit named Hermes was believed to be his messenger. When pagans became Christians, they stopped worshipping idols of Zeus, and began calling on God through Jesus' name.",,"Zeus, who is also called Jupiter, is the name of the chief Greek and Roman god. -> Zeus is the name of the chief Greek god, identical to Roman god Jupiter. ","Both European and Semitic philosophers made out Zeus and El to be the same God that the Hebrews worshipped. Thus, some pagans turned from their idols, honouring God through his human incarnation, Jesus.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Zion,,,"Zion was an ancient name of one of the hills on which the city of Jerusalem is located. The word Zion (1) sometimes refers to Jerusalem, (2) other times it refers to heaven (the place where God is), and (3) sometimes refers to the New Jerusalem.",Jerusalem,,"The consonants of Tsîwn can mean marker stone, along a road or at a grave site.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
